"x","y","bio4","bio5","bio6","bio15","bio16","bio17","bioalt","species_occ"
-155.463974,20.07477,126.119232759854,26.8999996185303,15.5,56.1538837257648,773,236,366,1
-155.4904022,20.0548,126.959645811557,25.6000003814697,13.8000001907349,32.6386290061744,679,312,683,1
-155.4394073,20.0806999,126.506089162997,28,16.7000007629395,42.4363226898287,566,237,176,1
-155.3685608,20.0385494,124.933312492682,27.6000003814697,16.1000003814697,38.8133997086083,622,274,264,1
-155.5924988,20.105,125.743261923771,28.6000003814697,17,43.7993808328976,730,251,27,1
-155.616806,20.0832996,126.193553267234,27.8999996185303,16,30.5766095381764,1201,717,264,1
-155.8413849,19.73607063,126.65496217021,23,9.69999980926514,53.6130419336693,924,314,1275,1
-155.0964966,19.7251396,111.32127117372,28.5,17.6000003814697,32.8183792365297,930,447,43,1
-155.4786835,20.0704803,126.708779979231,26.5,15,37.5648066364758,646,269,466,1
-155.5924988,20.114,124.409979915373,29.2000007629395,17.5,37.965428186361,664,288,6,1
-155.2551727,19.4286804,124.221827328406,22.5,10.5,44.1330496681958,676,264,1216,1
-155.341,19.4976,128.679208282803,20,7.59999990463257,76.4396018426672,737,129,1675,1
-155.2,19.3674,119.382883144789,23.6000003814697,12.1000003814697,42.3509577966143,833,330,992,1
-155.607,19.065,106.937389601479,27.2999992370605,16.7999992370605,38.1842183066249,619,309,301,1
-156.456,20.7705,136.972153333895,29.7000007629395,18.2000007629395,44.5618430048375,344,170,16,1
-158.11,21.3301,153.535974026176,30,18.2000007629395,31.7327558182954,278,142,12,1
-155.908,19.4161,112.148432397796,29.3999996185303,18.7000007629395,42.1668873821371,412,171,32,1
-155.868,19.4305,119.322576449067,26.7000007629395,15.5,37.8281628049229,797,339,520,1
-156.239,20.7002,140.87591383743,14.8000001907349,2.40000009536743,43.6340410381805,248,114,2751,1
-158.113,21.3258,153.535974026176,30,18.2000007629395,31.7327558182954,278,142,12,1
-159.662,22.0576,179.608141814818,23.7999992370605,12,80.234869807997,595,130,875,1
-159.38,21.97,160.176847481356,28.8999996185303,17.7000007629395,72.5614649855174,767,121,78,1
-155.659,20.0256,126.724475551225,25,12.6000003814697,49.0846303316258,639,241,843,1
-159.498,22.2051,162.885892318193,29,18,59.8543869805737,494,95,8,1
-156.396,20.629,133.117479016106,26.7999992370605,15.3000001907349,37.1887827961969,720,373,517,1
-155.834,20.2383,126.74463046081,27.8999996185303,17.1000003814697,73.4759323412891,428,45,196,1
-155.335,19.4987,128.679208282803,20,7.59999990463257,76.4396018426672,737,129,1675,1
-156.343,20.8375,134.453863321539,27.3999996185303,15.6000003814697,34.841310928986,318,187,400,1
-155.775,19.1946,122.464440642498,20.5,8.69999980926514,39.9543713095946,679,312,1668,1
-156.31,20.92,134.803442748586,28.7000007629395,17.2000007629395,67.8600798236597,419,80,131,1
-156.44,20.7346,135.922075210315,29.2999992370605,18,33.7706652577601,249,151,64,1
-155.883,19.42,116.606040965015,27.6000003814697,16.6000003814697,35.9661855664028,569,319,348,1
-156.045,20.6617,125.959206375664,29,17.2999992370605,44.6891967288198,621,221,4,1
-157.001,21.1729,144.056488269752,27,15.8000001907349,49.2589865735072,431,117,486,1
-156.32,20.92,134.943159641103,28.7000007629395,17.2000007629395,67.0341869461377,369,81,139,1
-155.6,19.7,129.690768225426,19.2999992370605,7.5,34.3845208510637,256,133,1825,1
-158.046,21.6257,152.804568750873,29.2999992370605,17.1000003814697,49.5327588992515,434,155,97,1
-159.401,22.2026,163.755063383034,28.6000003814697,17.3999996185303,54.9898510621112,449,106,101,1
-156.18,20.85,132.47856077923,27.2000007629395,15.8999996185303,51.8755024635236,615,141,349,1
-156.36,20.71,134.887724859776,26,13.3999996185303,29.5967279058205,346,251,733,1
-156.315,20.8388,134.541855506386,26.3999996185303,14.5,35.6599280611122,496,239,583,1
-155.226,19.4285,123.082254327777,22.7999992370605,11,45.5295732330352,897,362,1128,1
-155.185,19.5712,120.443457708755,24.3999996185303,12.8000001907349,35.6019516553123,770,396,823,1
-156.43,20.65,133.900532712209,29,17.7000007629395,39.9401401743132,437,193,118,1
-156.342,20.8396,134.453863321539,27.3999996185303,15.6000003814697,34.841310928986,318,187,400,1
-155.6,20.11,124.409979915373,29.2000007629395,17.5,37.965428186361,664,288,6,1
-157.153,21.1972,144.920951009643,29.8999996185303,18.3999996185303,72.5804728165241,312,61,12,1
-155.843,19.5181,124.179133646049,23,10.8999996185303,62.0329925312343,841,269,1217,1
-155.464,20.0748,126.119232759854,26.8999996185303,15.5,56.1538837257648,773,236,366,1
-159.342,22.0564,160.356506886447,29.2000007629395,18,78.4064109415049,732,131,3,1
-159.537,22.0627,182.886680995141,21.7000007629395,8.69999980926514,60.6373344598187,830,141,1333,1
-155.451,19.2759,114.917612782807,25.2999992370605,13.8000001907349,27.1758882599691,668,431,715,1
-155.826,19.5091,124.172239910694,22.2999992370605,10.1000003814697,56.3349379896206,749,265,1342,1
-158.107,21.319,153.2149179374,30,18.2999992370605,35.8893437307922,286,150,12,1
-155.87,19.94,120.38055962957,29.2000007629395,18.7999992370605,47.0300435837601,240,81,18,1
-155.678,19.6565,128.688023378525,19.3999996185303,7.5,52.249589687941,287,85,1830,1
-156.278,20.8082,136.431795584565,23.3999996185303,10.8000001907349,44.665251515996,644,282,1160,1
-156.364,20.6958,136.117027576611,25.2000007629395,12.3000001907349,44.4024273783661,625,193,892,1
-155.245,19.6626,123.235275490218,24,11.3000001907349,38.7196690311602,834,418,1013,1
-155.554,19.7606,130.856018288368,19.2000007629395,6.80000019073486,41.6388296796301,255,126,1885,1
-156.284,20.9061,133.611688605039,27.8999996185303,16.3999996185303,77.2696927745342,457,41,236,1
-156.447,20.7169,135.184369100683,29.7999992370605,18.2000007629395,53.7673545321703,258,86,7,1
-155.865,19.9435,123.414181232239,29.2999992370605,18.7999992370605,47.7345154756435,255,73,9,1
-158,21.324,153.214900254382,30.1000003814697,18.6000003814697,37.2572036863015,284,104,7,1
-155.07,19.6999,110.948918593845,28.6000003814697,17.7999992370605,42.5463926640536,975,371,35,1
-159.643,22.145,185.880372008375,21.7999992370605,9.19999980926514,71.5934520913139,562,91,1245,1
-158.053,21.6081,150.269950093473,28.8999996185303,16.7000007629395,50.6748282295964,325,86,194,1
-156.24,20.71,140.639772097821,15.3999996185303,2.59999990463257,37.8921423837025,245,114,2665,1
-156.32,20.85,134.307284395493,27,15.3000001907349,66.1743541501494,475,76,458,1
